time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
290.0,-4,-7,-6,-3,7,-1,11,-14,-20,-14,-3,-5
291.0,-4,-7,-5,-2,7,-1,11,-13,-17,-15,-4,-6
292.0,-5,-8,-5,-1,6,-1,11,-13,-17,-16,-4,-7
293.0,-5,-8,-5,0,6,-1,11,-12,-16,-16,-5,-7
294.0,-5,-8,-5,0,5,-2,11,-11,-15,-16,-6,-8
295.0,-6,-8,-4,0,4,-2,10,-11,-14,-16,-6,-8
296.0,-6,-8,-4,0,4,-2,10,-10,-14,-16,-7,-8
297.0,-6,-8,-3,1,3,-2,10,-10,-13,-16,-8,-8
298.0,-6,-8,-3,1,3,-2,9,-9,-12,-16,-8,-9
299.0,-6,-8,-3,2,3,-2,9,-9,-11,-16,-8,-9
300.0,-6,-8,-3,3,3,-2,9,-8,-10,-16,-9,-9
301.0,-6,-8,-2,3,2,-2,8,-7,-9,-16,-9,-9
302.0,-6,-8,-2,3,2,-2,8,-7,-9,-16,-9,-9
303.0,-6,-8,-2,4,2,-2,8,-7,-8,-15,-10,-9
304.0,-6,-7,-2,4,1,-2,8,-6,-7,-15,-10,-9
305.0,-6,-7,-2,4,1,-2,8,-5,-7,-15,-10,-9
306.0,-6,-7,-2,5,1,-2,7,-4,-6,-15,-10,-9
307.0,-6,-7,-2,5,0,-2,7,-4,-6,-14,-10,-9
308.0,-6,-7,-2,5,0,-2,7,-3,-5,-14,-10,-9
309.0,-6,-7,-2,5,0,-2,7,-3,-5,-14,-10,-9
310.0,-6,-7,-1,5,0,-2,7,-2,-5,-13,-10,-9
311.0,-6,-7,-1,6,0,-2,7,-2,-5,-13,-10,-9
312.0,-5,-7,-1,6,-1,-2,7,-2,-4,-12,-10,-9
313.0,-5,-7,-1,6,-1,-2,7,-2,-4,-12,-10,-9
314.0,-5,-7,-1,6,-1,-2,7,-1,-3,-12,-10,-9
315.0,-5,-7,-1,6,-1,-2,7,-1,-3,-12,-10,-8
316.0,-4,-7,-1,6,-1,-2,7,0,-3,-11,-10,-8
317.0,-4,-7,-1,6,-1,-2,7,0,-2,-11,-10,-8
318.0,-4,-7,-1,6,-1,-2,7,0,-2,-11,-10,-8
319.0,-4,-7,-1,6,-1,-2,7,1,-2,-10,-10,-8
320.0,-4,-7,-1,6,-1,-2,6,1,-1,-10,-10,-8
321.0,-4,-7,-1,6,-1,-2,6,1,-1,-10,-10,-8
322.0,-4,-7,-1,6,-1,-2,6,1,-1,-9,-10,-8
323.0,-4,-7,-1,6,-1,-2,6,1,-1,-9,-9,-8
324.0,-4,-7,-1,6,-1,-2,6,2,-1,-9,-9,-8
325.0,-4,-7,-1,7,-1,-2,6,2,-1,-8,-9,-8
326.0,-4,-7,-1,7,-1,-2,6,2,-1,-8,-9,-8
327.0,-4,-7,-1,7,-1,-2,6,2,-1,-8,-9,-8
328.0,-4,-7,-1,7,-1,-2,6,2,-1,-8,-9,-8
329.0,-4,-7,-1,7,-1,-2,6,2,0,-8,-9,-8
330.0,-4,-7,-1,7,-1,-2,6,2,0,-7,-9,-8
331.0,-4,-7,-1,7,-1,-2,6,2,0,-7,-9,-8
332.0,-4,-7,-1,7,-1,-2,6,2,0,-7,-9,-8
333.0,-4,-7,-1,7,-1,-2,6,3,0,-7,-9,-8
334.0,-4,-7,-1,6,-1,-2,6,3,0,-7,-9,-8
335.0,-4,-6,-1,6,-1,-2,6,3,0,-7,-9,-8
336.0,-4,-6,-1,6,-1,-2,6,3,0,-6,-9,-8
337.0,-4,-6,-1,6,-1,-2,6,3,0,-6,-9,-8
338.0,-4,-6,-1,6,-1,-2,6,3,0,-6,-9,-8
339.0,-3,-6,-1,6,-1,-2,7,3,1,-6,-8,-8
340.0,-3,-6,-1,6,-1,-2,7,3,1,-6,-8,-8
341.0,-3,-6,-1,6,-1,-2,7,3,1,-6,-8,-8
342.0,-3,-6,-1,6,-1,-2,7,3,1,-6,-8,-8
343.0,-3,-5,-1,6,-1,-2,7,3,1,-5,-8,-8
344.0,-3,-5,-1,6,-1,-2,7,3,1,-5,-8,-8
345.0,-3,-5,-1,6,-1,-2,7,3,1,-5,-8,-8
346.0,-3,-5,-1,6,-1,-2,7,3,1,-5,-8,-8
347.0,-3,-6,-1,6,-1,-2,7,3,1,-5,-8,-8
348.0,-4,-6,-1,6,-1,-2,7,3,0,-5,-8,-8
349.0,-4,-6,-1,6,-1,-2,7,3,0,-5,-8,-8
350.0,-4,-6,-1,6,-1,-2,7,3,0,-5,-8,-8
351.0,-4,-6,-1,6,-1,-2,7,3,0,-5,-8,-8
352.0,-4,-7,-1,6,-1,-2,7,3,0,-5,-8,-8
353.0,-4,-7,-1,6,-1,-2,7,3,0,-5,-8,-9
354.0,-4,-7,-1,6,-1,-2,7,3,0,-5,-8,-9
355.0,-4,-7,-1,6,-1,-2,7,3,0,-5,-8,-9
356.0,-4,-8,-1,6,-1,-2,7,3,0,-5,-8,-9
357.0,-4,-8,-1,6,-1,-2,7,3,0,-5,-8,-9
358.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
359.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
360.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
361.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
362.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
363.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
364.0,-5,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
365.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
366.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
367.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
368.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
369.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
370.0,-6,-8,-1,7,-1,-2,7,3,0,-5,-8,-9
371.0,-6,-8,-1,7,-1,-2,8,3,0,-5,-8,-9
372.0,-6,-8,-1,7,-1,-2,8,3,0,-5,-8,-9
373.0,-5,-8,-1,7,-1,-2,8,3,0,-5,-8,-9
374.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-8,-9
375.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-8,-9
376.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-8,-9
377.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-8,-9
378.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-8,-9
379.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-8,-9
380.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-8,-9
381.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-8,-9
382.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-8,-9
383.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-8,-9
384.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-9,-9
385.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-9,-9
386.0,-5,-8,-1,7,-1,-3,7,3,0,-5,-9,-9
387.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-9,-9
388.0,-5,-8,-1,7,-1,-3,8,3,0,-5,-9,-9
389.0,-5,-8,-1,7,-1,-2,8,3,0,-5,-9,-9
390.0,-5,-8,-1,7,-1,-2,8,3,0,-5,-9,-9
391.0,-5,-8,-1,7,-1,-2,8,3,0,-5,-8,-9
392.0,-5,-7,-1,7,-1,-2,8,3,1,-5,-8,-9
393.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
394.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
395.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
396.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
397.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
398.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
399.0,-5,-7,-1,7,-1,-2,8,4,1,-5,-8,-9
400.0,-5,-7,-1,7,-1,-2,9,4,1,-5,-8,-8
